id,n_method_size,mean_comp5,std_comp5,min_comp5,max_comp5,mean_clin,mean_safe,teacher_decision_accuracy,teacher_safety_score,teacher_clinical_correctness,teacher_completeness,teacher_coherence,teacher_format_compliance,teacher_comp5,teacher_clin
4f0bfe96e4fe,50,3.976,0.764,2.0,5.0,2.6,4.12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4fb0aa0cf26a,50,3.844,1.034,0.4,5.0,2.62,3.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
51e9a1e2199a,47,2.596,0.716,1.0,4.2,0.745,1.787,0.0,3.0,1.0,1.0,4.0,3.0,1.8,1.0
5299e0b2d4cb,50,3.66,1.201,1.6,5.0,2.76,3.7,5.0,5.0,5.0,2.0,2.0,3.0,3.8,5.0
59e9ed7d75db,50,1.316,0.408,0.6,2.4,1.36,0.82,5.0,3.0,4.0,2.0,5.0,5.0,3.8,4.0
5a5098f3f6cb,50,2.984,0.846,1.8,5.0,1.16,2.66,5.0,5.0,5.0,4.0,4.0,5.0,4.6,5.0
5dafd625a549,50,4.288,0.687,2.6,5.0,3.52,4.42,5.0,5.0,5.0,2.0,5.0,2.0,4.4,5.0
5e3c9c3dd943,50,2.376,1.333,0.8,5.0,1.3,2.28,0.0,3.0,2.0,3.0,5.0,5.0,2.6,2.0
60dfb0304d25,50,4.0,0.792,2.0,5.0,3.14,4.14,5.0,5.0,5.0,2.0,5.0,3.0,4.4,5.0
61681020e7a3,50,3.16,0.561,1.8,5.0,1.16,3.16,5.0,5.0,4.0,5.0,5.0,5.0,4.8,4.0
61d816f7ee08,50,3.504,1.014,1.2,5.0,2.6,3.24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6577482557c1,50,3.584,0.617,2.0,5.0,1.96,3.28,5.0,5.0,4.0,2.0,2.0,3.0,3.6,4.0
6ad2d3e43539,50,2.968,0.821,1.2,4.6,1.42,2.56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6f9e3bc25e7f,50,2.032,0.978,0.4,5.0,0.62,2.16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
704ac1a7e86d,47,1.4,0.286,0.8,2.2,0.319,1.638,0.0,1.0,0.0,2.0,5.0,5.0,1.6,0.0
72128dbb4c34,29,2.138,1.164,0.0,5.0,1.31,2.241,5.0,4.0,4.0,1.0,2.0,2.0,3.2,4.0
722ac592c728,50,3.26,1.337,1.2,5.0,2.24,3.22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
72b38c972b2c,50,2.256,0.483,1.4,3.6,0.84,0.84,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
77e569e3902b,50,3.504,0.928,1.2,5.0,2.22,3.46,5.0,5.0,5.0,4.0,4.0,5.0,4.6,5.0
7a824584c694,50,3.28,0.357,2.6,4.2,1.26,3.56,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
7ab240e55f9d,50,3.576,0.655,2.4,5.0,2.04,3.8,5.0,5.0,5.0,3.0,5.0,3.0,4.6,5.0
7c82226ae9f4,50,4.612,0.754,1.4,5.0,4.3,4.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7e7d853b8c04,50,4.272,0.762,1.8,5.0,3.34,4.32,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
81883b88e382,47,2.443,0.935,0.6,3.8,0.851,2.234,5.0,4.0,5.0,1.0,2.0,2.0,3.4,5.0
83154c39838e,50,3.892,0.735,2.6,5.0,2.72,4.12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
83a8d5263fab,50,3.016,0.774,2.0,5.0,1.58,2.62,5.0,5.0,3.0,5.0,5.0,5.0,4.6,3.0
846bdc253bef,50,3.768,0.538,2.8,5.0,2.14,3.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
84865f14a3a3,50,3.076,0.563,0.6,4.0,1.0,3.42,5.0,4.0,5.0,3.0,5.0,3.0,4.4,5.0
84a6745e15bb,50,3.324,0.978,1.0,5.0,1.72,3.04,5.0,5.0,5.0,4.0,4.0,5.0,4.6,5.0
8860f659c911,50,3.66,0.929,0.0,5.0,2.58,3.46,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
896ddff32353,50,3.392,0.719,2.2,5.0,2.04,3.42,5.0,3.0,5.0,1.0,2.0,2.0,3.2,5.0
8b14a0c8b53e,50,3.672,0.624,2.0,4.8,2.4,3.92,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
8eb141b439ca,50,3.572,0.878,1.6,5.0,2.28,3.58,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
9640f874c9a3,50,3.136,0.679,1.6,5.0,1.48,3.08,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
9705de53be9b,50,3.84,0.766,1.4,5.0,2.54,3.84,5.0,5.0,3.0,4.0,5.0,5.0,4.4,3.0
988db4e8e39f,50,2.212,0.809,0.6,5.0,1.74,2.44,0.0,3.0,2.0,3.0,5.0,5.0,2.6,2.0
99ae2aae9a33,50,3.524,0.738,2.2,5.0,1.9,3.62,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
9b8a9d10db01,50,3.672,0.515,2.6,5.0,2.0,3.76,5.0,5.0,5.0,5.0,4.0,5.0,4.8,5.0
9c8f47094ad8,50,3.324,0.71,1.8,5.0,1.42,3.26,5.0,5.0,5.0,4.0,4.0,4.0,4.6,5.0
9cf95624cde7,50,3.624,0.719,1.0,5.0,2.68,3.36,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
a0b95da30421,50,3.408,0.767,2.2,5.0,1.92,3.46,5.0,4.0,5.0,1.0,2.0,1.0,3.4,5.0
a1be8d892fe7,50,3.904,0.744,2.4,5.0,3.04,3.96,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
a3a5d029d50a,50,3.66,0.64,2.6,5.0,2.18,3.74,5.0,3.0,5.0,1.0,2.0,2.0,3.2,5.0
ab886b7c7098,50,4.484,0.745,3.0,5.0,3.9,4.36,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
aed746f1c64a,50,4.124,0.759,1.4,5.0,3.52,4.16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
b1acca6e3a93,50,3.972,1.04,0.0,5.0,3.02,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
b70d0a5f1994,50,1.356,0.526,0.4,3.2,0.16,1.16,5.0,3.0,3.0,1.0,1.0,1.0,2.6,3.0
b891d6ce6f1b,50,3.06,1.067,0.0,5.0,1.56,2.68,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
bb77f2587960,50,2.464,1.741,0.2,5.0,1.6,2.6,0.0,3.0,2.0,2.0,4.0,5.0,2.2,2.0
bdfaedc42cf5,50,3.372,0.771,0.8,5.0,1.9,3.4,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
bf20e5ea71b1,50,4.296,0.656,2.6,5.0,3.58,4.52,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
c1f258c4caf2,50,1.124,0.305,0.4,1.8,0.0,0.98,0.0,3.0,1.0,2.0,5.0,5.0,2.2,1.0
c2c0bdab86cb,50,3.092,0.477,2.2,4.0,1.48,2.74,5.0,4.0,2.0,3.0,5.0,5.0,3.8,2.0
c2e5657b8bcf,50,1.388,0.458,0.4,2.6,0.54,1.64,0.0,3.0,2.0,1.0,1.0,1.0,1.4,2.0
c3be5a08307c,50,4.464,0.837,1.0,5.0,3.94,4.48,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
c4f5507f3cf5,50,2.52,1.314,0.8,5.0,1.68,2.62,0.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0
c609c8e7e129,50,3.488,0.65,2.2,4.8,1.94,3.68,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
c83d50c8b4ff,50,2.592,0.744,1.0,4.0,0.8,2.2,5.0,3.0,2.0,2.0,4.0,2.0,3.2,2.0
c885ea2f55c6,50,2.904,0.759,1.8,4.6,1.24,2.46,5.0,4.0,5.0,1.0,2.0,2.0,3.4,5.0
c8f0273fff99,50,2.26,0.849,0.6,4.6,1.26,2.24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
caad1ce956fc,50,3.38,0.879,0.8,4.8,2.04,3.3,5.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0
cd13ca44fc45,50,4.296,0.767,1.4,5.0,3.5,4.32,5.0,5.0,5.0,2.0,2.0,2.0,3.8,5.0
d633b5700f5d,50,1.444,0.859,0.0,4.8,0.52,1.54,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
d75450889130,50,2.58,0.659,1.6,5.0,1.1,1.7,5.0,3.0,5.0,2.0,2.0,2.0,3.4,5.0
df5f0d093ff8,50,2.2,0.308,1.4,2.8,0.02,1.26,5.0,5.0,5.0,2.0,3.0,2.0,4.0,5.0
e2f059b0caeb,50,3.268,1.259,0.6,5.0,2.48,2.82,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0
e3e2fb505cf6,50,1.444,0.705,0.6,4.2,0.58,1.3,0.0,3.0,5.0,5.0,5.0,5.0,3.6,5.0
e458f1f21423,50,3.632,0.832,0.0,5.0,2.38,3.78,5.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0
e7f0efa9d92c,50,3.884,0.846,0.8,5.0,2.68,4.0,5.0,4.0,5.0,2.0,2.0,2.0,3.6,5.0
e875b0247716,50,3.304,0.63,2.0,4.8,1.76,3.48,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
eae209a8b284,50,2.804,0.578,1.6,3.8,1.16,2.84,5.0,5.0,4.0,4.0,4.0,5.0,4.4,4.0
eafd85407444,47,2.047,0.829,0.8,4.0,0.638,2.106,5.0,3.0,1.0,2.0,2.0,3.0,2.6,1.0
ec70a458c806,50,3.308,1.055,1.2,5.0,2.04,3.06,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ef4d4e533aee,50,2.736,0.611,1.4,4.0,1.06,2.3,5.0,4.0,4.0,2.0,2.0,2.0,3.4,4.0
f5b84c4d3e18,50,3.052,0.558,0.0,3.8,0.94,3.06,5.0,3.0,1.0,2.0,2.0,4.0,2.6,1.0
